rf_id,convey_ty,employer_assign
87590441,assignment,0
87620663,assignment,0
87670871,assignment,0
87680018,assignment,0
87690637,assignment,0
87710020,assignment,0
87710879,assignment,0
87720076,assignment,0
87720299,assignment,0
87740251,assignment,0
87750471,assignment,0
87750636,assignment,0
87770119,assignment,0
87770652,assignment,0
87780112,assignment,0
87780749,assignment,0
87780805,assignment,0
87790375,assignment,0
87790785,assignment,0
87790954,assignment,0
87790968,assignment,0
87810493,assignment,0
87810935,assignment,0
87820226,assignment,0
87840024,assignment,0
87850469,assignment,0
87850951,assignment,0
87860434,assignment,0
87870936,assignment,0
87890830,assignment,0
87910990,assignment,0
87930081,assignment,0
87940419,assignment,0
87950571,assignment,0
87960729,assignment,0
87960813,assignment,0
87960875,assignment,0
87990190,assignment,0
87990807,assignment,0
88000585,assignment,0
88010230,assignment,0
88020890,assignment,0
88020911,assignment,0
88030605,assignment,0
88070593,assignment,0
88080128,assignment,0
88080586,assignment,0
88080865,assignment,0
88090625,assignment,0
88090777,assignment,0
88090974,assignment,0
88100371,assignment,0
88100553,assignment,0
88110663,assignment,0
88120692,assignment,0
88150309,assignment,0
88180757,assignment,0
88210507,assignment,0
88220302,assignment,0
88220314,assignment,0
88220363,assignment,0
88230064,assignment,0
88280919,assignment,0
88280977,assignment,0
88300588,assignment,0
88310168,assignment,0
88320051,assignment,0
88330900,assignment,0
88340382,assignment,0
88340385,assignment,0
88360863,assignment,0
88360957,assignment,0
88430222,assignment,0
88430317,assignment,0
88440735,assignment,0
88450077,assignment,0
88470251,assignment,0
88470346,assignment,0
88470606,assignment,0
88500431,assignment,0
88500726,assignment,0
88520678,assignment,0
88530082,assignment,0
88530702,assignment,0
88540110,assignment,0
88540121,assignment,0
88540167,assignment,0
88580205,assignment,0
88580858,assignment,0
88590520,assignment,0
88590921,assignment,0
88600022,assignment,0
88600029,assignment,0
88600032,assignment,0
88600823,assignment,0
88610048,assignment,0
88610293,assignment,0
88630886,assignment,0
88630991,assignment,0
88640082,assignment,0
88640549,assignment,0
88650579,assignment,0
88660490,assignment,0
88660774,assignment,0
88670005,assignment,0
88680731,assignment,0
88680734,assignment,0
88700009,assignment,0
88700015,assignment,0
88700544,assignment,0
88720070,assignment,0
88720133,assignment,0
88740429,assignment,0
88750965,assignment,0
88800189,assignment,0
88810343,assignment,0
88810439,assignment,0
88810608,assignment,0
88850486,assignment,0
88850575,assignment,0
88870067,assignment,0
88900413,assignment,0
88900433,assignment,0
88900585,assignment,0
88900869,assignment,0
88910793,assignment,0
88930878,assignment,0
88940567,assignment,0
88940693,assignment,0
88950767,assignment,0
88970671,assignment,0
88980763,assignment,0
88980821,assignment,0
88990292,assignment,0
89000707,assignment,0
89010241,assignment,0
89030459,assignment,0
89040040,assignment,0
89060671,assignment,0
89060681,assignment,0
89060683,assignment,0
89060685,assignment,0
89060696,assignment,0
89060752,assignment,0
89070388,assignment,0
89080016,assignment,0
89080020,assignment,0
89100516,assignment,0
89120806,assignment,0
89130585,assignment,0
89130962,assignment,0
89140695,assignment,0
89190475,assignment,0
89190861,assignment,0
89200426,assignment,0
89200437,assignment,0
89210153,assignment,0
89230122,assignment,0
89230857,assignment,0
89240949,assignment,0
89250789,assignment,0
89250795,assignment,0
89260020,assignment,0
89260471,assignment,0
89260919,assignment,0
89270542,assignment,0
89280891,assignment,0
89290168,assignment,0
89310739,assignment,0
89320005,assignment,0
89340132,assignment,0
89350451,assignment,0
89380818,assignment,0
89420316,assignment,0
89440165,assignment,0
89450343,assignment,0
89450412,assignment,0
89450689,assignment,0
89460394,assignment,0
89470394,assignment,0
89470541,assignment,0
89490148,assignment,0
89490342,assignment,0
89500860,assignment,0
89530108,assignment,0
89530246,assignment,0
89530559,assignment,0
89530567,assignment,0
89530575,assignment,0
89540077,assignment,0
89540151,assignment,0
89560176,assignment,0
89560242,assignment,0
89560379,assignment,0
89570389,assignment,0
89580812,assignment,0
89590891,assignment,0
89620877,assignment,0
89630255,assignment,0
89640392,assignment,0
89660365,assignment,0
89660372,assignment,0
89670069,assignment,0
89680021,assignment,0
89680023,assignment,0
89680749,assignment,0
89690338,assignment,0
89690834,assignment,0
89700654,assignment,0
89720336,assignment,0
89730321,assignment,0
89760313,assignment,0
89770088,assignment,0
89770652,assignment,0
89770993,assignment,0
89780426,assignment,0
89810221,assignment,0
89810452,assignment,0
89810465,assignment,0
89810874,assignment,0
89840404,assignment,0
89850022,assignment,0
89850872,assignment,0
89850874,assignment,0
89870247,assignment,0
89880479,assignment,0
89880529,assignment,0
89900835,assignment,0
89920886,assignment,0
89930672,assignment,0
89940690,assignment,0
89940721,assignment,0
89940938,assignment,0
89960179,assignment,0
89990577,assignment,0
89990695,assignment,0
90010302,assignment,0
90010318,assignment,0
