rf_id,convey_ty,employer_assign
129010833,assignment,0
129010916,assignment,0
129250118,assignment,0
129260894,assignment,0
129350893,assignment,0
129350907,assignment,0
129400832,assignment,0
129430587,assignment,0
129430590,assignment,0
129430593,assignment,0
129460578,assignment,0
129540053,assignment,0
129580166,assignment,0
129620380,assignment,0
129620540,assignment,0
129680881,assignment,0
129810099,assignment,0
129810108,assignment,0
129870295,assignment,0
129890662,assignment,0
129910418,assignment,0
130050993,assignment,0
130130714,assignment,0
130280287,assignment,0
130360881,assignment,0
130360885,assignment,0
130660013,assignment,0
130950703,assignment,0
131010520,assignment,0
131040684,assignment,0
131130520,assignment,0
131170512,assignment,0
131170521,assignment,0
131170558,assignment,0
131250144,assignment,0
131380656,assignment,0
131470514,assignment,0
131560316,assignment,0
131890279,assignment,0
132000062,assignment,0
132110700,assignment,0
132240256,assignment,0
132240917,assignment,0
132310722,assignment,0
132420934,assignment,0
132420948,assignment,0
132510434,assignment,0
132690961,assignment,0
132690980,assignment,0
132800676,assignment,0
132880399,assignment,0
132940749,assignment,0
133070540,assignment,0
133200451,assignment,0
133340780,assignment,0
133590791,assignment,0
133740801,assignment,0
133780649,assignment,0
133950806,assignment,0
133990024,assignment,0
134210938,assignment,0
134290771,assignment,0
134400440,assignment,0
134560669,assignment,0
134610326,assignment,0
134610338,assignment,0
134680651,assignment,0
134790604,assignment,0
134840158,assignment,0
134940064,assignment,0
134960053,assignment,0
134960057,assignment,0
135030534,assignment,0
135160337,assignment,0
135320440,assignment,0
135340255,assignment,0
135570375,assignment,0
135850317,assignment,0
135850341,assignment,0
135880821,assignment,0
135910839,assignment,0
136040710,assignment,0
136510602,assignment,0
136510901,assignment,0
136570960,assignment,0
136780169,assignment,0
136780320,assignment,0
136980299,assignment,0
137200843,assignment,0
137230926,assignment,0
137400607,assignment,0
137490380,assignment,0
137630526,assignment,0
137700012,assignment,0
137700617,assignment,0
137760253,assignment,0
137780388,assignment,0
137820257,assignment,0
137980712,assignment,0
137990013,assignment,0
138130175,assignment,0
138150663,assignment,0
138190501,assignment,0
138210129,assignment,0
138210232,assignment,0
138210323,assignment,0
138250472,assignment,0
138620623,assignment,0
138620766,assignment,0
138770453,assignment,0
138800482,assignment,0
138830982,assignment,0
138850117,assignment,0
138850152,assignment,0
138850164,assignment,0
138980170,assignment,0
139080145,assignment,0
139130154,assignment,0
139220328,assignment,0
139220616,assignment,0
139310294,assignment,0
139330283,assignment,0
139330590,assignment,0
139380904,assignment,0
139570616,assignment,0
139580794,assignment,0
139600477,assignment,0
139620549,assignment,0
139640452,assignment,0
139650093,assignment,0
139650392,assignment,0
139650397,assignment,0
139690555,assignment,0
139740465,assignment,0
139860139,assignment,0
139860229,assignment,0
139870263,assignment,0
139920216,assignment,0
139920219,assignment,0
139940239,assignment,0
139940450,assignment,0
139980119,assignment,0
139980637,assignment,0
140000119,assignment,0
140120857,assignment,0
140220339,assignment,0
140220397,assignment,0
140330401,assignment,0
140350255,assignment,0
140430947,assignment,0
140610492,assignment,0
140660569,assignment,0
140770067,assignment,0
140780115,assignment,0
140780663,assignment,0
140900464,assignment,0
140900501,assignment,0
141020176,assignment,0
141150098,assignment,0
141280450,assignment,0
